Mon1.WZL 怪物的图(守卫,森林雪人,待刀护卫,足球)
Mon2.WZL 怪物的图(食人花)
Mon3.WZL 怪物的图(骷髅,猫,草人,暗黑战士,粪虫)
Mon4.WZL 怪物的图(沃玛战士,火焰沃玛,沃玛勇士,沃玛教主,红蛇,变异骷髅,虎蛇,契蛾)
Mon5.WZL 怪物的图(闪电僵尸,角蝇,羊,赢,盔甲虫,大老鼠,祖玛弓箭手,贝尔丝虫2个)
Mon6.WZL 怪物的图(地洞僵尸,腐烂僵尸,行走僵尸,爬行僵尸)
Mon7.WZL 怪物的图(祖玛雕像,祖玛卫士,祖玛教主)
Mon8.WZL 怪物的图(狼,弓箭手,虎卫,蜈蚣,黑色恶蛆)
Mon9.WZL 怪物的图(蝙蝠,跳跳蜂,巨型蠕虫,蝎子)
Mon10.WZL 怪物的图(多角虫,巨型多角虫,双头血魔,邪恶巨人)
Mon11.WZL 怪物的图(半兽人,半兽战士,半兽勇士)
Mon12.WZL 怪物的图(红野猪,黑野猪,白野猪,月魔蜘蛛,钢牙蜘蛛,血巨人,双头金刚,花纹蜘蛛,黑锷蜘蛛,天狼蜘蛛)
Mon13.WZL 怪物的图(钳虫,邪恶钳虫)
Mon14.WZL 怪物的图(蝎蛇,赤月恶魔,幻影蜘蛛,爆裂蜘蛛)
Mon15.WZL 怪物的图(邪恶蜈蚣,妖之树)
Mon16.WZL 怪物的图(骷髅精灵,沃玛卫士,尸王)
Mon17.WZL 怪物的图(鸡,鹿,蛤蟆,毒蜘蛛,邪恶蜈蚣)
Mon18.WZL 怪物的图(神兽) 
